CircuitLength,DesignedLaps,TrackTemp,AirTemp,EventEncoded
5000,57,30.60328947368421,26.41513157894737,18
5000,58,18.18089171974522,15.82547770700637,25
5513,56,37.47080745341616,28.148447204968942,27
4909,63,23.2608,18.0304,10
5891,52,40.6328125,21.29140625,7
5281,58,28.4656050955414,24.519108280254777,1
5000,52,43.22758620689656,25.287068965517243,0
5891,52,40.6328125,21.29140625,7
4657,66,32.9223076923077,22.203076923076924,22
7004,44,29.82396694214876,18.568595041322315,6
4318,71,33.18397435897436,20.96602564102564,3
4657,66,47.55581395348836,29.7968992248062,22
6174,50,28.40921052631579,25.42039473684211,21
5412,56,27.627819548872186,20.53834586466165,5
5000,71,39.92,20.8225,23
5000,53,40.34242424242424,28.80606060606061,19
5412,57,42.81975308641975,30.617283950617285,15
4657,66,47.55581395348836,29.7968992248062,22
4909,63,17.41898734177215,12.899367088607592,10
6174,50,28.40921052631579,25.42039473684211,21
4657,66,32.9223076923077,22.203076923076924,22
4318,71,33.18397435897436,20.96602564102564,3
5000,87,23.469291338582668,20.947244094488195,20
5000,66,38.95074626865672,19.392537313432832,17
4657,66,32.9223076923077,22.203076923076924,22
4657,66,32.9223076923077,22.203076923076924,22
5000,71,39.92,20.8225,23
6174,50,31.68497409326425,28.816062176165804,21
5303,58,37.40833333333334,26.69743589743589,2
4318,71,33.18397435897436,20.96602564102564,3
5412,57,42.81975308641975,30.617283950617285,15
5000,53,35.22879999999999,25.3144,11
5000,87,23.469291338582668,20.947244094488195,20
5000,51,38.31453488372093,24.17093023255814,4
5793,53,41.201398601398594,28.090909090909093,13
5000,60,16.360204081632652,9.499999999999998,9
6174,50,31.68497409326425,28.816062176165804,21
4909,63,23.2608,18.0304,10
5000,58,18.18089171974522,15.82547770700637,25
5000,52,43.22758620689656,25.287068965517243,0
5000,52,43.22758620689656,25.287068965517243,0
5412,57,42.81975308641975,30.617283950617285,15
3337,78,37.59555555555556,20.760740740740744,16
4657,66,32.9223076923077,22.203076923076924,22
4304,71,47.579268292682926,21.206707317073167,14
5000,71,39.92,20.8225,23
5000,58,15.205755395683456,13.09568345323741,25
5412,57,28.61042944785276,23.617791411042944,5
5281,55,27.98,23.12148148148148,1
5281,58,28.4656050955414,24.519108280254777,1
5891,52,50.93152173913043,29.4,7
5000,87,23.469291338582668,20.947244094488195,20
5891,52,40.6328125,21.29140625,7
5000,51,38.31453488372093,24.17093023255814,4
5000,66,25.715625,20.50546875,17
5000,51,38.31453488372093,24.17093023255814,4
4259,72,36.10569620253165,21.50443037974684,8
5000,66,38.95074626865672,19.392537313432832,17
5000,52,43.22758620689656,25.287068965517243,0
4318,71,52.025,28.684166666666663,3
5000,66,38.95074626865672,19.392537313432832,17
5303,58,37.40833333333334,26.69743589743589,2
5000,66,25.715625,20.50546875,17
4909,63,16.827329192546582,10.62111801242236,10
5891,52,40.6328125,21.29140625,7
4304,71,47.579268292682926,21.206707317073167,14
5412,56,27.627819548872186,20.53834586466165,5
4909,63,16.827329192546582,10.62111801242236,10
5303,58,37.40833333333334,26.69743589743589,2
4909,63,17.41898734177215,12.899367088607592,10
5000,58,15.205755395683456,13.09568345323741,25
4657,66,47.55581395348836,29.7968992248062,22
4259,72,36.10569620253165,21.50443037974684,8
4259,72,36.10569620253165,21.50443037974684,8
5000,52,43.22758620689656,25.287068965517243,0
4909,63,23.2608,18.0304,10
5793,53,41.201398601398594,28.090909090909093,13
4381,70,27.129850746268666,20.74179104477612,12
5000,52,43.22758620689656,25.287068965517243,0
5000,66,25.715625,20.50546875,17
5000,66,38.95074626865672,19.392537313432832,17
5000,60,16.360204081632652,9.499999999999998,9
5793,53,41.201398601398594,28.090909090909093,13
